Index,MlDomainName,MlIntentName,Utterance
1,Tracker_Intents,Add_Note,add a note
2,Tracker_Intents,Add_Note,add a note to the appointment
3,Tracker_Intents,Add_Note,add note to job
4,Tracker_Intents,Add_Note,Add note
5,Tracker_Intents,Add_Note,notate work order
6,Tracker_Intents,Add_Note,add customer note
7,Tracker_Intents,Add_Note,make note
8,Tracker_Intents,Arrive,arrived at appointment
9,Tracker_Intents,Arrive,onsite
10,Tracker_Intents,Arrive,starting to work
11,Tracker_Intents,Arrive,arrived at customer site
12,Tracker_Intents,Arrive,arrived onsite
13,Tracker_Intents,Arrive,at job
14,Tracker_Intents,Arrive,starting work
15,Tracker_Intents,Arrive,starting job
16,Tracker_Intents,Arrive,here at customer
17,Tracker_Intents,Arrive,here onsite
18,Tracker_Intents,Arrive,Arrived
19,Tracker_Intents,Arrive,work starting
20,Tracker_Intents,Arrive,at customer site
21,Tracker_Intents,Arrive,job in progress
22,Tracker_Intents,Arrive,Arrive
23,Tracker_Intents,Arrive,I'm here
24,Tracker_Intents,Arrive,starting appointment
25,Tracker_Intents,Arrive,job starting
26,Tracker_Intents,Arrive,beginning work
27,Tracker_Intents,Arrive,beginning
28,Tracker_Intents,Arrive,beginning job
29,Tracker_Intents,Complete,appointment completed
30,Tracker_Intents,Complete,work done
31,Tracker_Intents,Complete,complete appointment
32,Tracker_Intents,Complete,job finished
33,Tracker_Intents,Complete,Completed
34,Tracker_Intents,Complete,finished
35,Tracker_Intents,Complete,completed appointment
36,Tracker_Intents,Complete,appointment done
37,Tracker_Intents,Complete,finish job
38,Tracker_Intents,Complete,close job
39,Tracker_Intents,Complete,close work
40,Tracker_Intents,Complete,job all set here
41,Tracker_Intents,Complete,work all set
42,Tracker_Intents,Complete,Complete
43,Tracker_Intents,Complete,I'm done
44,Tracker_Intents,Complete,job completed
45,Tracker_Intents,Complete,complete job
46,Tracker_Intents,Complete,appointment finished
47,Tracker_Intents,Complete,completed my work
48,Tracker_Intents,Complete,job done
49,Tracker_Intents,Complete,done
50,Tracker_Intents,Accept,Accept
51,Tracker_Intents,Accept,Accepted
52,Tracker_Intents,Accept,Confirm
53,Tracker_Intents,Accept,dispatch
54,Tracker_Intents,Accept,dispatch that
55,Tracker_Intents,Accept,confirm that appointment
56,Tracker_Intents,Accept,confirm my appointment
57,Tracker_Intents,Accept,that time works for me
58,Tracker_Intents,Accept,lets go with that time
59,Tracker_Intents,Accept,confirm the appointment
60,Tracker_Intents,Accept,that time is good
61,Tracker_Intents,Accept,confirm that
62,Tracker_Intents,Accept,customer confirmed
63,Tracker_Intents,Accept,Confirmed
64,Tracker_Intents,Accept,that works
65,Tracker_Intents,Accept,confirm appointment
66,Tracker_Intents,Accept,dispatched
67,Tracker_Intents,Accept,appointment time works
68,Tracker_Intents,Accept,appointment is dispatched
69,Tracker_Intents,Accept,That sounds good
70,Tracker_Intents,Accept,i can make that work
71,Tracker_Intents,Accept,that sounds good to me
72,Tracker_Intents,Accept,appointment confirmed
73,Tracker_Intents,Get_Appointment_Status,What's my appointment status?
74,Tracker_Intents,Get_Appointment_Status,What's my appointment ETA?
75,Tracker_Intents,Get_Appointment_Status,What's your ETA?
76,Tracker_Intents,Get_Appointment_Status,Status of my appointment
77,Tracker_Intents,Get_Appointment_Status,What time is my appointment?
78,Tracker_Intents,Get_Appointment_Status,When will my tech arrive?
79,Tracker_Intents,Get_Appointment_Status,Where is my tech?
80,Tracker_Intents,Get_Appointment_Status,What time will they get here?
81,Tracker_Intents,Get_Appointment_Status,How far away is your technician?
82,Tracker_Intents,Get_Appointment_Status,What's the ETA for the driver?
83,Tracker_Intents,Get_Appointment_Status,How far away is the driver right now?
84,Tracker_Intents,Get_Appointment_Status,status of appointment
85,Tracker_Intents,Get_Appointment_Status,what's the ETA?
86,Tracker_Intents,Get_Appointment_Status,latest eta?
87,Tracker_Intents,Get_Appointment_Status,current ETA
88,Tracker_Intents,Get_Appointment_Status,are you guys coming?
89,Tracker_Intents,Get_Appointment_Status,my appointment status
90,Tracker_Intents,Get_Appointment_Status,what's the latest status?
91,Tracker_Intents,Get_Appointment_Status,Appointment Status
92,Tracker_Intents,Get_Appointment_Status,latest status
93,Tracker_Intents,Get_Appointment_Status,when will you show up?
94,Tracker_Intents,Get_Appointment_Status,whats the status?
95,Tracker_Intents,Get_Appointment_Status,my status?
96,Tracker_Intents,Get_Appointment_Status,what is your ETA?
97,Tracker_Intents,Get_Appointment_Status,whats the status of my appointment?
98,Tracker_Intents,Get_Appointment_Status,are we still ontime for my appointment?
99,Tracker_Intents,Get_Appointment_Status,when are you coming?
100,Tracker_Intents,Get_Appointment_Status,status
101,Tracker_Intents,Get_Appointment_Status,get status
102,Tracker_Intents,Get_Appointment_Status,get appointment status
103,Tracker_Intents,Get_Appointment_Status,are we still on for the appointment?
104,Tracker_Intents,Get_Appointment_Status,ETA
105,Tracker_Intents,Get_Appointment_Status,assignment status
106,Tracker_Intents,Greetings,Hey Tracker
107,Tracker_Intents,Greetings,Hi Tracker
108,Tracker_Intents,Greetings,Whats up Tracker
109,Tracker_Intents,Greetings,Tracker
110,Tracker_Intents,Greetings,Hello
111,Tracker_Intents,Greetings,Howdy
112,Tracker_Intents,Greetings,Hello Tracker
113,Tracker_Intents,Greetings,What's up?
114,Tracker_Intents,Greetings,Sup
115,Tracker_Intents,Greetings,who are you?
116,Tracker_Intents,Greetings,Sup Tracker
117,Tracker_Intents,Greetings,how are you?
118,Tracker_Intents,Greetings,Are you there tracker?
119,Tracker_Intents,Greetings,What's up tracker?
120,Tracker_Intents,Greetings,Sup man?
121,Tracker_Intents,Greetings,what's happenin tracker?
122,Tracker_Intents,Greetings,Yo
123,Tracker_Intents,Greetings,Greetings
124,Tracker_Intents,Greetings,You there?
125,Tracker_Intents,Greetings,hello?
126,Tracker_Intents,Greetings,anyone there?
127,Tracker_Intents,Greetings,Hi
128,Tracker_Intents,Greetings,Greetings Tracker
129,Tracker_Intents,Greetings,yelllow
130,Tracker_Intents,Greetings,what are you?
131,Tracker_Intents,Main_Menu,Home
